new/used,name,milage,price,id,drive mode,fuel consumption,fuel type,accident history,clean title,one owner?,personal use,factory recall
Used,2022 Toyota RAV4 Hybrid XSE," 19,850 mi.","$39,000",089bed9d-dd9b-4803-9929-f9f9fbcbb3ef,,,,None reported,Yes,Yes,Yes,
,,,,cc56ec0b-be56-4b0f-9fca-0b19dc366c69,,,,,,,,
,,,,b8378b3d-d088-4aca-8cdd-5bf956e276d5,,,,,,,,
Mercedes-Benz Certified,2022 Mercedes-Benz GLE 350 Base 4MATIC," 5,233 mi.","$60,981",d9bfa17b-a0b6-4520-a91f-e9ebddfaa1f9,–,– ,Gasoline ,"6 years old or less/less than 75,000 miles",1 year/unlimited miles,1 year/unlimited miles,164-point inspection,Yes
Hyundai Certified,2021 Hyundai Elantra HEV Blue," 24,990 mi.","$23,900",252b5439-6b54-47e5-9fbd-7455ef391fe9,–,Front-wheel Drive ,Hybrid ,None reported,,Yes,Yes,
Volvo Certified,2020 Volvo V60 Cross Country T5 (Certified)," 29,814 mi.","$33,399",71c8c28f-5f51-45a0-83e9-bdc53848670d,–,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
,,,,515b295d-fa95-4a0e-9e18-6583dd267a87,,,,,,,,
Hyundai Certified,2022 Hyundai Tucson SEL," 29,725 mi.","$27,995",c579b041-dab2-449f-b0e4-f804c876a8c0,–,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Hyundai Certified,2022 Hyundai Tucson Limited," 43,402 mi.","$29,995",9f449915-e952-4e01-8297-5ed6822022eb,–,All-wheel Drive ,Gasoline ,None reported,,Yes,Yes,
Mercedes-Benz Certified,2023 Mercedes-Benz GLS 450 ," 15,621 mi.","$86,991",f7014ea1-246c-45e1-a8a8-ba1e9b1a76cd,–,– ,Hybrid ,"6 years old or less/less than 75,000 miles",1 year/unlimited miles,1 year/unlimited miles,164-point inspection,Yes
Audi Certified,2022 Audi Q3 Premium Plus (Certified)," 16,723 mi.","$36,599",25cd84b1-b187-4afe-b8da-937fc6db4152,–,All-wheel Drive ,Gasoline ,None reported,,No,No,
